JUnit version 4.12
.Test started at Tue Oct 25 03:22:30 UTC 2016
Insertions: 34,359,738,368 (approx: 262,144 GiB)
Thread count: 1
Maximum FPSet table count is: 137,438,953,472 (approx: 1,048,576 GiB)
FPSet lock count is: 0
FPSet bucket count is: 137438953472
Testing tlc2.tool.fp.OffHeapDiskFPSet
1477377641060 s; 165,801,088 insertions/min; 0.23 load factor
1477377701060 s; 165,643,429 insertions/min; 0.23 load factor
1477377761060 s; 165,709,181 insertions/min; 0.23 load factor
1477377821060 s; 165,611,166 insertions/min; 0.23 load factor
1477377881060 s; 165,301,911 insertions/min; 0.23 load factor
1477377941060 s; 165,618,014 insertions/min; 0.23 load factor
1477378001060 s; 165,423,299 insertions/min; 0.24 load factor
1477378061060 s; 165,007,061 insertions/min; 0.24 load factor
1477378121060 s; 164,464,938 insertions/min; 0.24 load factor
1477378181060 s; 165,647,445 insertions/min; 0.24 load factor
1477378241060 s; 140,239,185 insertions/min; 0.24 load factor
1477378301060 s; 138,251,521 insertions/min; 0.24 load factor
1477378361060 s; 138,605,835 insertions/min; 0.24 load factor
1477378421060 s; 138,882,130 insertions/min; 0.24 load factor
1477378481060 s; 139,062,209 insertions/min; 0.24 load factor
1477378541060 s; 149,165,584 insertions/min; 0.25 load factor
1477378601060 s; 137,985,476 insertions/min; 0.25 load factor
1477378661060 s; 136,889,952 insertions/min; 0.25 load factor
1477378721060 s; 136,932,215 insertions/min; 0.25 load factor
1477378781060 s; 137,677,253 insertions/min; 0.25 load factor
Total puts: 34359738368, total collisions: 0, total load factor: 0.25, duration: 12498497 ms.
1477378799562 s; 164,940,000 insertions/min; 0.25 load factor
Test finished at Tue Oct 25 06:59:59 UTC 2016
.Test started at Tue Oct 25 06:59:59 UTC 2016
Insertions: 34,359,738,368 (approx: 262,144 GiB)
Thread count: 1
Test finished at Tue Oct 25 06:59:59 UTC 2016
.Test started at Tue Oct 25 06:59:59 UTC 2016
Insertions: 34,359,738,368 (approx: 262,144 GiB)
Thread count: 1
Test finished at Tue Oct 25 06:59:59 UTC 2016
.Test started at Tue Oct 25 06:59:59 UTC 2016
Insertions: 34,359,738,368 (approx: 262,144 GiB)
Thread count: 1
Test finished at Tue Oct 25 06:59:59 UTC 2016

Time: 13,049.151

OK (4 tests)

Running test: FingerPrintGenerator
page_defrag = always madvise [never]
scaling_governor = powersave
kernel.numa_balancing = 1
